challenge_id,challenge_title,problem_statement,detailed_description,sector,sub_sector,required_technologies,preferred_technologies,minimum_experience_years,required_certifications,eligibility_requirements,preferred_startup_stage,budget_min,budget_max,budget_currency,location,deployment_environment,scalability_requirement,expected_timeline_months,expected_outcomes,key_performance_indicators,procurement_category,challenge_priority,application_deadline,status
c6407a8d-c6b5-4631-8445-9fb5474f07c7,"AI Innovation for Rural Development using Renewable Tech, Mobile Tech, Data Analytics",Develop a solution to improve rural development operations.,"We are seeking startups with expertise in Renewable Tech, Mobile Tech, Data Analytics to build scalable solutions for Rural Development.",Rural Development,Rural Development Tech,"['Renewable Tech', 'Mobile Tech', 'Data Analytics']",['IoT'],0,['SOC 2'],Must have 0 years of experience and core capability in Renewable Tech.,Growth,1200000,4900000,INR,Pan India,On-Premise,National Level,3,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-11-07T18:40:05.704093Z,Open
984f6780-7307-4fd2-bf30-20713f233118,AI Innovation for Tourism using Recommendation Systems,Develop a solution to improve tourism operations.,We are seeking startups with expertise in Recommendation Systems to build scalable solutions for Tourism.,Tourism,Tourism Tech,['Recommendation Systems'],[],2,['None'],Must have 2 years of experience and core capability in Recommendation Systems.,Any,3800000,6500000,INR,Nagpur,Cloud,State Level,14,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-10-02T18:40:05.704159Z,Open
f8b1c77b-8b1e-4961-a578-e34b18d997e4,"AI Innovation for Waste Management using Sensors, Route Optimization, Computer Vision",Develop a solution to improve waste management operations.,"We are seeking startups with expertise in Sensors, Route Optimization, Computer Vision to build scalable solutions for Waste Management.",Waste Management,Waste Management Tech,"['Sensors', 'Route Optimization', 'Computer Vision']",[],2,['None'],Must have 2 years of experience and core capability in Sensors.,Early Traction,2800000,6300000,INR,Pan India,Hybrid,State Level,13,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-11-08T18:40:05.704203Z,Open
81dec053-8422-43eb-a339-fc1bd5b50d1d,AI Innovation for Logistics using Predictive Analytics,Develop a solution to improve logistics operations.,We are seeking startups with expertise in Predictive Analytics to build scalable solutions for Logistics.,Logistics,Logistics Tech,['Predictive Analytics'],"['IoT', 'Route Optimization']",0,['SOC 2'],Must have 0 years of experience and core capability in Predictive Analytics.,Any,3300000,8200000,INR,Pan India,On-Premise,State Level,7,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-11-08T18:40:05.704246Z,Open
df5efbd6-10c0-4314-8631-6cfd8cd96a1a,AI Innovation for Disaster Management using Predictive Analytics,Develop a solution to improve disaster management operations.,We are seeking startups with expertise in Predictive Analytics to build scalable solutions for Disaster Management.,Disaster Management,Disaster Management Tech,['Predictive Analytics'],[],2,['None'],Must have 2 years of experience and core capability in Predictive Analytics.,Any,2900000,7400000,INR,Pan India,Cloud,State Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,High,2026-09-21T18:40:05.704284Z,Open
681d46c3-f91d-44c0-bff1-a526ce5fb88a,"AI Innovation for Disaster Management using Drones, Predictive Analytics, IoT",Develop a solution to improve disaster management operations.,"We are seeking startups with expertise in Drones, Predictive Analytics, IoT to build scalable solutions for Disaster Management.",Disaster Management,Disaster Management Tech,"['Drones', 'Predictive Analytics', 'IoT']",['Satellite Imaging'],1,['ISO 27001'],Must have 1 years of experience and core capability in Drones.,Scaling,4500000,6400000,INR,Mumbai,Edge,State Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-15T18:40:05.704321Z,Open
129734b4-582b-42d2-b98b-03101cec4267,"AI Innovation for Water Management using Predictive Analytics, Machine Learning, Sensors",Develop a solution to improve water management operations.,"We are seeking startups with expertise in Predictive Analytics, Machine Learning, Sensors to build scalable solutions for Water Management.",Water Management,Water Management Tech,"['Predictive Analytics', 'Machine Learning', 'Sensors']",['IoT'],1,['SOC 2'],Must have 1 years of experience and core capability in Predictive Analytics.,Scaling,4400000,7800000,INR,Pan India,Edge,City Level,16,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-20T18:40:05.704360Z,Open
aaebbf9c-00ad-4aba-838b-0c0824c87134,"AI Innovation for Disaster Management using IoT, Drones, Satellite Imaging",Develop a solution to improve disaster management operations.,"We are seeking startups with expertise in IoT, Drones, Satellite Imaging to build scalable solutions for Disaster Management.",Disaster Management,Disaster Management Tech,"['IoT', 'Drones', 'Satellite Imaging']",['Predictive Analytics'],5,['SOC 2'],Must have 5 years of experience and core capability in IoT.,Early Traction,1800000,6000000,INR,Pan India,Edge,City Level,7,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-10-28T18:40:05.704410Z,Open
8173bc86-fbbc-4cb4-9fb3-b371c82b1da7,AI Innovation for Cybersecurity using AI,Develop a solution to improve cybersecurity operations.,We are seeking startups with expertise in AI to build scalable solutions for Cybersecurity.,Cybersecurity,Cybersecurity Tech,['AI'],['Blockchain'],2,['None'],Must have 2 years of experience and core capability in AI.,Any,3500000,5000000,INR,Jaipur,Cloud,National Level,5,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-10-12T18:40:05.704448Z,Open
968c287b-05d3-41cf-934e-75910bd4f94c,AI Innovation for Water Management using IoT,Develop a solution to improve water management operations.,We are seeking startups with expertise in IoT to build scalable solutions for Water Management.,Water Management,Water Management Tech,['IoT'],"['Predictive Analytics', 'Machine Learning']",2,['None'],Must have 2 years of experience and core capability in IoT.,Growth,1600000,5400000,INR,Pan India,Hybrid,City Level,12,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-10-01T18:40:05.704483Z,Open
98b776f3-143a-49e1-afab-2a677ea2f30c,AI Innovation for Governance using Data Analytics,Develop a solution to improve governance operations.,We are seeking startups with expertise in Data Analytics to build scalable solutions for Governance.,Governance,Governance Tech,['Data Analytics'],[],1,['ISO 27001'],Must have 1 years of experience and core capability in Data Analytics.,Any,2100000,4100000,INR,Pan India,Edge,National Level,7,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-02T18:40:05.704518Z,Open
e7f45d2f-34cb-419a-8270-bf960d8fe50a,"AI Innovation for Environment using Sensors, Data Analytics",Develop a solution to improve environment operations.,"We are seeking startups with expertise in Sensors, Data Analytics to build scalable solutions for Environment.",Environment,Environment Tech,"['Sensors', 'Data Analytics']",['IoT'],2,['SOC 2'],Must have 2 years of experience and core capability in Sensors.,Growth,2000000,3400000,INR,Nagpur,Hybrid,State Level,12,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-19T18:40:05.704556Z,Open
e1bfb432-bb1b-46f0-a4e4-76cce968e7b1,AI Innovation for Disaster Management using IoT,Develop a solution to improve disaster management operations.,We are seeking startups with expertise in IoT to build scalable solutions for Disaster Management.,Disaster Management,Disaster Management Tech,['IoT'],[],2,['SOC 2'],Must have 2 years of experience and core capability in IoT.,Early Traction,4600000,7400000,INR,Surat,Hybrid,City Level,4,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-11-04T18:40:05.704590Z,Open
c3525510-84f1-4703-b98a-c6e507b008a2,"AI Innovation for Disaster Management using Drones, Satellite Imaging",Develop a solution to improve disaster management operations.,"We are seeking startups with expertise in Drones, Satellite Imaging to build scalable solutions for Disaster Management.",Disaster Management,Disaster Management Tech,"['Drones', 'Satellite Imaging']",[],2,['None'],Must have 2 years of experience and core capability in Drones.,Scaling,4900000,7500000,INR,Pan India,Cloud,State Level,17,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-11-03T18:40:05.704626Z,Open
4b2f1d6b-5e02-471a-8438-9a86573c870f,"AI Innovation for FinTech using Blockchain, Data Analytics, AI",Develop a solution to improve fintech operations.,"We are seeking startups with expertise in Blockchain, Data Analytics, AI to build scalable solutions for FinTech.",FinTech,FinTech Tech,"['Blockchain', 'Data Analytics', 'AI']",[],2,['None'],Must have 2 years of experience and core capability in Blockchain.,Growth,2100000,4300000,INR,Chandigarh,On-Premise,State Level,18,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-09-29T18:40:05.704660Z,Open
481c093a-286b-4170-a785-d71a646f547d,AI Innovation for Waste Management using IoT,Develop a solution to improve waste management operations.,We are seeking startups with expertise in IoT to build scalable solutions for Waste Management.,Waste Management,Waste Management Tech,['IoT'],['Route Optimization'],2,['SOC 2'],Must have 2 years of experience and core capability in IoT.,Early Traction,2400000,5900000,INR,Pan India,Hybrid,National Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-10-26T18:40:05.704698Z,Open
85a17dc8-2912-45b6-8624-fd81f71a5495,"AI Innovation for Environment using IoT, Sensors, Satellite Imaging",Develop a solution to improve environment operations.,"We are seeking startups with expertise in IoT, Sensors, Satellite Imaging to build scalable solutions for Environment.",Environment,Environment Tech,"['IoT', 'Sensors', 'Satellite Imaging']",['Data Analytics'],0,['ISO 27001'],Must have 0 years of experience and core capability in IoT.,Early Traction,4500000,7500000,INR,Nagpur,Hybrid,National Level,16,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-10-30T18:40:05.704739Z,Open
c12acd50-273c-4856-b50f-15ad96406571,AI Innovation for Healthcare using Wearables,Develop a solution to improve healthcare operations.,We are seeking startups with expertise in Wearables to build scalable solutions for Healthcare.,Healthcare,Healthcare Tech,['Wearables'],['Medical AI'],0,['SOC 2'],Must have 0 years of experience and core capability in Wearables.,Growth,4400000,6200000,INR,Surat,On-Premise,State Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-10-15T18:40:05.704772Z,Open
bdafab8f-2f56-4402-9372-d46f9e7f63f6,"AI Innovation for Governance using Machine Learning, OCR",Develop a solution to improve governance operations.,"We are seeking startups with expertise in Machine Learning, OCR to build scalable solutions for Governance.",Governance,Governance Tech,"['Machine Learning', 'OCR']",[],1,['None'],Must have 1 years of experience and core capability in Machine Learning.,Growth,2500000,5800000,INR,Kolkata,Cloud,State Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-09-27T18:40:05.704806Z,Open
e3af6c35-cd72-4ebe-81d0-a93493f3d4f3,AI Innovation for Rural Development using Mobile Tech,Develop a solution to improve rural development operations.,We are seeking startups with expertise in Mobile Tech to build scalable solutions for Rural Development.,Rural Development,Rural Development Tech,['Mobile Tech'],"['Data Analytics', 'IoT']",0,['None'],Must have 0 years of experience and core capability in Mobile Tech.,Scaling,3100000,5600000,INR,Pan India,On-Premise,City Level,13,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-09-29T18:40:05.704844Z,Open
095c62af-346a-471b-8517-5269bcd0cab0,"AI Innovation for Smart City using IoT, Edge Computing",Develop a solution to improve smart city operations.,"We are seeking startups with expertise in IoT, Edge Computing to build scalable solutions for Smart City.",Smart City,Smart City Tech,"['IoT', 'Edge Computing']",[],1,['ISO 27001'],Must have 1 years of experience and core capability in IoT.,Scaling,2100000,3800000,INR,Bengaluru,On-Premise,National Level,13,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-11-02T18:40:05.704877Z,Open
6b9511fa-630b-46d9-9da9-89a13ef57a3b,AI Innovation for Environment using Satellite Imaging,Develop a solution to improve environment operations.,We are seeking startups with expertise in Satellite Imaging to build scalable solutions for Environment.,Environment,Environment Tech,['Satellite Imaging'],[],2,['SOC 2'],Must have 2 years of experience and core capability in Satellite Imaging.,Early Traction,1400000,5400000,INR,Pan India,Cloud,National Level,12,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-10-19T18:40:05.704910Z,Open
6649f2a7-84f5-4e94-88b8-38afab9d76f7,AI Innovation for Smart City using Data Analytics,Develop a solution to improve smart city operations.,We are seeking startups with expertise in Data Analytics to build scalable solutions for Smart City.,Smart City,Smart City Tech,['Data Analytics'],['IoT'],2,['ISO 27001'],Must have 2 years of experience and core capability in Data Analytics.,Growth,4100000,7900000,INR,Pan India,Cloud,City Level,11,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-09-25T18:40:05.704943Z,Open
e3fefcef-9bfe-4d2d-aec7-964ff5d7a350,"AI Innovation for Tourism using Recommendation Systems, Mobile Tech, NLP",Develop a solution to improve tourism operations.,"We are seeking startups with expertise in Recommendation Systems, Mobile Tech, NLP to build scalable solutions for Tourism.",Tourism,Tourism Tech,"['Recommendation Systems', 'Mobile Tech', 'NLP']",['VR/AR'],2,['None'],Must have 2 years of experience and core capability in Recommendation Systems.,Early Traction,3700000,5300000,INR,Pan India,Edge,State Level,10,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-11-10T18:40:05.704976Z,Open
eafcae4b-3085-4064-aa0c-7c383556dbcb,"AI Innovation for Rural Development using IoT, Mobile Tech",Develop a solution to improve rural development operations.,"We are seeking startups with expertise in IoT, Mobile Tech to build scalable solutions for Rural Development.",Rural Development,Rural Development Tech,"['IoT', 'Mobile Tech']",['Data Analytics'],1,['None'],Must have 1 years of experience and core capability in IoT.,Any,2600000,5900000,INR,Pan India,Cloud,City Level,16,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-09-30T18:40:05.705016Z,Open
74c6741e-4b17-44b6-bae9-1e967acb7ef7,AI Innovation for FinTech using Blockchain,Develop a solution to improve fintech operations.,We are seeking startups with expertise in Blockchain to build scalable solutions for FinTech.,FinTech,FinTech Tech,['Blockchain'],"['Data Analytics', 'NLP']",0,['ISO 27001'],Must have 0 years of experience and core capability in Blockchain.,Growth,3200000,6900000,INR,Guwahati,Hybrid,City Level,9,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-11-06T18:40:05.705052Z,Open
84c1d83e-8cf0-4211-b561-68cb9dd7af42,AI Innovation for Disaster Management using Drones,Develop a solution to improve disaster management operations.,We are seeking startups with expertise in Drones to build scalable solutions for Disaster Management.,Disaster Management,Disaster Management Tech,['Drones'],[],3,['SOC 2'],Must have 3 years of experience and core capability in Drones.,Scaling,3300000,5000000,INR,Pan India,Hybrid,City Level,8,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-11-08T18:40:05.705084Z,Open
6e2f67f9-786d-4e89-ba5e-068c7ddd0b16,"AI Innovation for Water Management using IoT, Machine Learning",Develop a solution to improve water management operations.,"We are seeking startups with expertise in IoT, Machine Learning to build scalable solutions for Water Management.",Water Management,Water Management Tech,"['IoT', 'Machine Learning']",['Sensors'],2,['None'],Must have 2 years of experience and core capability in IoT.,Early Traction,3500000,4900000,INR,Pan India,Edge,State Level,17,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-09-30T18:40:05.705117Z,Open
66aada82-23bc-4c98-8377-8df01b1d132e,"AI Innovation for FinTech using Data Analytics, Blockchain",Develop a solution to improve fintech operations.,"We are seeking startups with expertise in Data Analytics, Blockchain to build scalable solutions for FinTech.",FinTech,FinTech Tech,"['Data Analytics', 'Blockchain']","['NLP', 'Fraud Detection']",0,['ISO 27001'],Must have 0 years of experience and core capability in Data Analytics.,Growth,4900000,6200000,INR,Kochi,Edge,National Level,17,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-11-03T18:40:05.705147Z,Open
15652769-6889-45a0-b08f-3263d4450a57,"AI Innovation for Transportation using Computer Vision, IoT, Route Optimization",Develop a solution to improve transportation operations.,"We are seeking startups with expertise in Computer Vision, IoT, Route Optimization to build scalable solutions for Transportation.",Transportation,Transportation Tech,"['Computer Vision', 'IoT', 'Route Optimization']",[],1,['None'],Must have 1 years of experience and core capability in Computer Vision.,Growth,4700000,8800000,INR,Pan India,Edge,National Level,4,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-10-24T18:40:05.705174Z,Open
499c8955-5d2a-4cc3-b2cd-8759992b46c0,AI Innovation for Water Management using Sensors,Develop a solution to improve water management operations.,We are seeking startups with expertise in Sensors to build scalable solutions for Water Management.,Water Management,Water Management Tech,['Sensors'],[],1,['None'],Must have 1 years of experience and core capability in Sensors.,Any,1700000,2700000,INR,Pan India,Edge,National Level,10,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-10-22T18:40:05.705207Z,Open
20a74af2-72e1-4308-b616-2deecb436d99,AI Innovation for FinTech using Blockchain,Develop a solution to improve fintech operations.,We are seeking startups with expertise in Blockchain to build scalable solutions for FinTech.,FinTech,FinTech Tech,['Blockchain'],['NLP'],0,['SOC 2'],Must have 0 years of experience and core capability in Blockchain.,Any,1400000,4400000,INR,Nashik,Hybrid,City Level,15,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-27T18:40:05.705238Z,Open
15b46f1c-a3f5-410c-952c-d5705a2be4a5,"AI Innovation for Defence using Cybersecurity, Computer Vision, Drones",Develop a solution to improve defence operations.,"We are seeking startups with expertise in Cybersecurity, Computer Vision, Drones to build scalable solutions for Defence.",Defence,Defence Tech,"['Cybersecurity', 'Computer Vision', 'Drones']",['AI'],1,['ISO 27001'],Must have 1 years of experience and core capability in Cybersecurity.,Any,4700000,8200000,INR,Ahmedabad,On-Premise,State Level,8,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-10-24T18:40:05.705269Z,Open
44f895f3-ab52-4c68-be7b-108a8c8f3740,"AI Innovation for Education using Machine Learning, VR/AR, NLP",Develop a solution to improve education operations.,"We are seeking startups with expertise in Machine Learning, VR/AR, NLP to build scalable solutions for Education.",Education,Education Tech,"['Machine Learning', 'VR/AR', 'NLP']",[],1,['ISO 27001'],Must have 1 years of experience and core capability in Machine Learning.,Scaling,1900000,4500000,INR,Pan India,On-Premise,National Level,18,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-10-03T18:40:05.705300Z,Open
273f72ff-7975-4a29-8788-f7c6ee5beb8e,"AI Innovation for Tourism using Mobile Tech, Recommendation Systems",Develop a solution to improve tourism operations.,"We are seeking startups with expertise in Mobile Tech, Recommendation Systems to build scalable solutions for Tourism.",Tourism,Tourism Tech,"['Mobile Tech', 'Recommendation Systems']","['NLP', 'VR/AR']",1,['SOC 2'],Must have 1 years of experience and core capability in Mobile Tech.,Growth,4000000,7800000,INR,Pan India,Hybrid,National Level,5,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-10-31T18:40:05.705333Z,Open
46595dde-9e76-4044-950f-b4eb06b14bd5,AI Innovation for Rural Development using Data Analytics,Develop a solution to improve rural development operations.,We are seeking startups with expertise in Data Analytics to build scalable solutions for Rural Development.,Rural Development,Rural Development Tech,['Data Analytics'],[],3,['None'],Must have 3 years of experience and core capability in Data Analytics.,Any,1400000,2900000,INR,Pan India,Edge,National Level,9,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-10-30T18:40:05.705365Z,Open
6f313b7e-04a6-4ad3-bc54-cbea33d1b2a0,"AI Innovation for Disaster Management using Satellite Imaging, Predictive Analytics, IoT",Develop a solution to improve disaster management operations.,"We are seeking startups with expertise in Satellite Imaging, Predictive Analytics, IoT to build scalable solutions for Disaster Management.",Disaster Management,Disaster Management Tech,"['Satellite Imaging', 'Predictive Analytics', 'IoT']",[],3,['None'],Must have 3 years of experience and core capability in Satellite Imaging.,Scaling,3100000,4600000,INR,Pan India,Edge,State Level,8,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-10-23T18:40:05.705396Z,Open
ee7cc185-e6f3-41ed-af6b-fbf4a2d996e3,"AI Innovation for Water Management using Sensors, Machine Learning",Develop a solution to improve water management operations.,"We are seeking startups with expertise in Sensors, Machine Learning to build scalable solutions for Water Management.",Water Management,Water Management Tech,"['Sensors', 'Machine Learning']",['IoT'],2,['ISO 27001'],Must have 2 years of experience and core capability in Sensors.,Any,3100000,4500000,INR,Ahmedabad,On-Premise,State Level,5,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-10-12T18:40:05.705426Z,Open
ec805924-9f72-44dd-aa2d-a2a4f2ef4276,"AI Innovation for Cybersecurity using Cryptography, Network Security",Develop a solution to improve cybersecurity operations.,"We are seeking startups with expertise in Cryptography, Network Security to build scalable solutions for Cybersecurity.",Cybersecurity,Cybersecurity Tech,"['Cryptography', 'Network Security']",['AI'],2,['SOC 2'],Must have 2 years of experience and core capability in Cryptography.,Growth,1500000,4400000,INR,Pan India,Edge,National Level,14,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-26T18:40:05.705459Z,Open
7b33abe6-5813-4f74-a374-5ec39b676bcd,AI Innovation for Water Management using Sensors,Develop a solution to improve water management operations.,We are seeking startups with expertise in Sensors to build scalable solutions for Water Management.,Water Management,Water Management Tech,['Sensors'],[],5,['ISO 27001'],Must have 5 years of experience and core capability in Sensors.,Scaling,4100000,6300000,INR,Mumbai,Cloud,National Level,4,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-10-05T18:40:05.705492Z,Open
600c64a8-0925-4dcf-a823-85629ecf3ba1,AI Innovation for Skill Development using Recommendation Systems,Develop a solution to improve skill development operations.,We are seeking startups with expertise in Recommendation Systems to build scalable solutions for Skill Development.,Skill Development,Skill Development Tech,['Recommendation Systems'],"['VR/AR', 'Machine Learning']",0,['SOC 2'],Must have 0 years of experience and core capability in Recommendation Systems.,Early Traction,4900000,6900000,INR,Indore,On-Premise,State Level,12,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Medium,2026-11-06T18:40:05.705523Z,Open
a67da432-3c5a-445d-a9b9-607bb83a9650,"AI Innovation for Renewable Energy using Smart Grids, IoT, Predictive Analytics",Develop a solution to improve renewable energy operations.,"We are seeking startups with expertise in Smart Grids, IoT, Predictive Analytics to build scalable solutions for Renewable Energy.",Renewable Energy,Renewable Energy Tech,"['Smart Grids', 'IoT', 'Predictive Analytics']",[],1,['SOC 2'],Must have 1 years of experience and core capability in Smart Grids.,Any,4600000,8400000,INR,Chandigarh,On-Premise,City Level,7,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-10-20T18:40:05.705553Z,Open
af6464d4-e6e9-471d-9c3b-af40fced71c8,"AI Innovation for Disaster Management using Satellite Imaging, Drones",Develop a solution to improve disaster management operations.,"We are seeking startups with expertise in Satellite Imaging, Drones to build scalable solutions for Disaster Management.",Disaster Management,Disaster Management Tech,"['Satellite Imaging', 'Drones']","['IoT', 'Predictive Analytics']",0,['None'],Must have 0 years of experience and core capability in Satellite Imaging.,Scaling,2000000,4700000,INR,Pan India,On-Premise,State Level,14,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-10-19T18:40:05.705595Z,Open
cee649d5-17c9-4ee1-9fc9-a2073fdd067b,"AI Innovation for Healthcare using Data Analytics, Computer Vision",Develop a solution to improve healthcare operations.,"We are seeking startups with expertise in Data Analytics, Computer Vision to build scalable solutions for Healthcare.",Healthcare,Healthcare Tech,"['Data Analytics', 'Computer Vision']","['Wearables', 'Medical AI']",1,['None'],Must have 1 years of experience and core capability in Data Analytics.,Growth,1100000,4100000,INR,Pan India,Cloud,State Level,18,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,High,2026-09-27T18:40:05.705629Z,Open
c9ae446d-0cec-4ed8-b1b7-bf7206314550,"AI Innovation for Disaster Management using Satellite Imaging, IoT",Develop a solution to improve disaster management operations.,"We are seeking startups with expertise in Satellite Imaging, IoT to build scalable solutions for Disaster Management.",Disaster Management,Disaster Management Tech,"['Satellite Imaging', 'IoT']","['Drones', 'Predictive Analytics']",1,['None'],Must have 1 years of experience and core capability in Satellite Imaging.,Any,1900000,6400000,INR,Hyderabad,On-Premise,State Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,High,2026-11-06T18:40:05.705662Z,Open
e528eb83-f214-4ffd-8fdd-d075a3c70218,"AI Innovation for Governance using Blockchain, NLP, Data Analytics",Develop a solution to improve governance operations.,"We are seeking startups with expertise in Blockchain, NLP, Data Analytics to build scalable solutions for Governance.",Governance,Governance Tech,"['Blockchain', 'NLP', 'Data Analytics']","['OCR', 'Machine Learning']",2,['ISO 27001'],Must have 2 years of experience and core capability in Blockchain.,Growth,4600000,7100000,INR,Pan India,Hybrid,City Level,16,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-11-05T18:40:05.705696Z,Open
b9f04e83-3bb9-41f6-997a-3d6f215e51ef,"AI Innovation for Agriculture using Computer Vision, Drones, IoT",Develop a solution to improve agriculture operations.,"We are seeking startups with expertise in Computer Vision, Drones, IoT to build scalable solutions for Agriculture.",Agriculture,Agriculture Tech,"['Computer Vision', 'Drones', 'IoT']",['Satellite Imaging'],0,['None'],Must have 0 years of experience and core capability in Computer Vision.,Early Traction,3400000,6700000,INR,Pan India,Hybrid,City Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-10-07T18:40:05.705731Z,Open
